llavemod,llaveviv,llavehog,cve_ent,cvegeo,edad,sexo,sexo_label,escolaridad,cond_disc,cond_disc_label,cond_aee,trab_no_rem_cuid_hog,cuid_esp_int_hog_sin_cp,cuid_int_0a5_sin_cp,cuid_int_6a14_sin_cp,cuid_int_15a59,cuid_int_60mas_sin_cp,trab_merc_pv,bus_trab,fac_per,realiza_cuidado_hogar,realiza_cuidado_especial,realiza_cuidado_0a5,realiza_cuidado_6a14,realiza_cuidado_15a59,realiza_cuidado_60mas,realiza_trabajo_mercado,busca_trabajo,es_cuidador,horas_cuidado,horas_trabajo,participa_laboral,combina_cuidado_trabajo
90688005103.0,90688005,906880051,9,9,52,2,Mujer,2.0,2,No tiene discapacidad,1,19.75,12.75,0.0,0.0,7.0,0.0,22.5,0.0,4049,1,1,0,0,1,0,1,0,1,19.75,22.5,1,1
90688005105.0,90688005,906880051,9,9,24,2,Mujer,3.0,2,No tiene discapacidad,1,4.16666666666666,4.16666666666666,0.0,0.0,0.0,0.0,40.0,0.0,4099,1,1,0,0,0,0,1,0,1,4.16666666666666,40.0,1,1
90348505101.0,90348505,903485051,9,9,36,1,Hombre,4.0,2,No tiene discapacidad,1,2.0,0.0,0.0,2.0,0.0,0.0,72.0,0.0,3903,1,0,0,1,0,0,1,0,1,2.0,72.0,1,1
90348505102.0,90348505,903485051,9,9,30,2,Mujer,3.0,2,No tiene discapacidad,1,15.83333333333333,0.0,0.0,15.83333333333333,0.0,0.0,2.0,0.0,3852,1,0,0,1,0,0,1,0,1,15.83333333333333,2.0,1,1
90348505103.0,90348505,903485051,9,9,58,1,Hombre,2.0,2,No tiene discapacidad,1,3.0,0.0,0.0,3.0,0.0,0.0,30.0,0.0,3918,1,0,0,1,0,0,1,0,1,3.0,30.0,1,1
91634404101.0,91634404,916344041,9,9,37,1,Hombre,4.0,2,No tiene discapacidad,1,3.0,0.0,0.0,0.0,3.0,0.0,55.0,0.0,4214,1,0,0,0,1,0,1,0,1,3.0,55.0,1,1
91652203101.0,91652203,916522031,9,9,44,1,Hombre,3.0,2,No tiene discapacidad,1,5.0,0.0,0.0,0.0,5.0,0.0,45.0,0.0,3975,1,0,0,0,1,0,1,0,1,5.0,45.0,1,1
91652203102.0,91652203,916522031,9,9,47,2,Mujer,3.0,2,No tiene discapacidad,1,24.08333333333333,0.0,0.0,12.08333333333333,12.0,0.0,38.0,0.0,3840,1,0,0,1,1,0,1,0,1,24.08333333333333,38.0,1,1
91652203103.0,91652203,916522031,9,9,25,1,Hombre,4.0,2,No tiene discapacidad,1,1.0,0.0,0.0,1.0,0.0,0.0,40.0,0.0,3938,1,0,0,1,0,0,1,0,1,1.0,40.0,1,1
90738005101.0,90738005,907380051,9,9,46,2,Mujer,3.0,2,No tiene discapacidad,5,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4242,1,0,0,0,1,0,0,0,1,6.0,0.0,0,0
